gene	num_common_functional	total_coding_variants
RIPOR3	0	1
RIPPLY3	1	400
RNASEH2A	2	597
RNF114	2	375
RNF126	3	463
RPL18A	0	294
RPL28	1	313
RPN2	2	1080
RPRD1B	0	424
RPS11	0	237
RPS16	0	236
RPS5	0	243
RPS9	0	253
RRAS	2	387
RRP1B	3	1129
RSPH1	4	572
RSPH6A	5	1432
RSPO4	3	512
RTN2	1	1031
S100B	0	142
S1PR4	4	914
S1PR5	3	906
SACK1C	6	1467
SACK1E	3	93
SAE1	1	501
SAFB2	3	1749
SALL4	7	1784
SAMD10	2	105
SARS2	2	1051
SAXO5	12	1035
SBNO2	2	2065
SBSN	6	968
SCAF1	4	2373
SCAF4	3	1261
SCAMP4	3	489
SCAND1	0	466
SCN1B	1	237
SCP2D1	2	278
SDC4	1	371
SDHAF1	1	290
SEL1L2	4	930
SELENOV	3	731
SEMG1	7	852
SEMG2	8	1044
SERTAD1	2	436
SERTAD3	0	371
SETD4	3	735
SGTA	1	555
SH2D3A	10	1229
SH3BGR	1	250
SH3GL1	0	185
SHANK1	7	4094
SHD	2	538
SHFL	0	101
SHKBP1	1	791
SHLD1	2	314
SIGLEC1	13	3379
SIGLEC10	1	428
SIGLEC12	17	1235
SIGLEC8	6	912
SIGLEC9	10	835
SIM2	5	1300
SIN3B	3	1768
SIPA1L3	14	3382
SIRPB2	3	599
SIRT2	2	653
SLA2	2	467
SLC12A5	2	1499
SLC13A3	2	1075
SLC17A7	1	881
SLC19A1	3	1354
SLC23A2	0	874
SLC24A3	6	975
SLC25A41	4	499
SLC25A42	1	591
SLC27A1	1	1422
SLC27A5	7	1399
SLC2A10	6	1044
SLC32A1	2	820
SLC35E1	0	35
SLC37A1	5	910
SLC39A3	2	671
SLC44A2	5	1234
SLC5A5	1	1284
SLC6A16	4	1216
SLC7A10	2	939
SLC7A9	4	857
SLC8A2	1	1385
SLC9A8	1	933
SLCO4A1	6	1468
SLPI	0	256
SLX4IP	5	664
SLX9	3	374
SMARCA4	2	2154
SMG9	0	860
SMIM24	3	200
SNAI1	2	468
SNAP25	0	189
SNAPC2	3	887
SNPH	0	280
SNRPA	0	467
SNRPB	1	346
SNRPB2	0	259
SNRPD2	0	53
SNTA1	3	925
SNX5	1	523
SOD1	0	235
SON	0	51
SPAG4	1	861
SPATA2	4	962
SPATC1L	9	830
SPEF1	1	198
SPINT2	3	440
SPINT3	2	142
SPINT4	2	153
SPMAP2	7	841
SPTLC3	2	933
SRMS	6	573
SRRM5	0	24
SRXN1	1	331
SS18L1	1	722
SSBP4	1	882
SSC5D	13	2225
SSTR4	5	963
STAP2	1	226
STK11	1	826
STK35	2	1004
STMN3	0	181
STRN4	1	1311
STXBP2	7	1133
SUGP1	2	1130
SULT2A1	2	473
SULT2B1	4	721
SUMO3	1	134
SUN5	1	569
SYCE2	0	73
SYCN	0	339
SYCP2	11	2406
SYDE1	1	496
SYMPK	2	1538
SYNDIG1	1	466
SYNE4	0	148
SYNGR4	2	380
SYS1	0	263
SYT5	1	595
TARM1	5	486
TASP1	0	554
TBC1D17	3	1491
TBC1D20	1	643
TBCB	0	530
TBXA2R	1	812
TCF3	8	1696
TCP10L	2	364
TDRD12	8	1178
TECR	0	8
TEKTIP1	8	594
TEKTL1	10	1130
TEX101	1	375
TFAP2C	1	741
TFF1	2	179
TFF2	1	256
TGFB1	3	691
TGIF2	0	400
TGM2	3	1292
TGM3	6	1380
TGM6	6	1442
THAP8	6	503
THBD	5	1339
THOP1	1	1314
TICAM1	5	1345
TIMM13	0	225
TIMM44	4	665
TIPE1	0	357
TLDC2	5	442
TLE2	5	1572
TLE6	1	1308
TM6SF2	3	296
TMC2	7	1628
TMED1	0	485
TMEM143	2	673
TMEM145	1	680
